magnetic field (T)	nonlocal resistance (parallel field) (Ω)	nonlocal resistance (antiparallel field) (Ω)
-0.036	1.84	-1.22
-0.0355	2.16	-2.84
-0.035	3.14	-2.68
-0.0345	0.88	-3.06
-0.034	2.6	-1.04
-0.0335	3	-1.66
-0.033	3.98	-2.04
-0.0325	3.68	-1.38
-0.032	4.14	-1.92
-0.0315	4	-2.24
-0.031	3.9	-2.54
-0.0305	3.74	-2.4
-0.03	3.1	-2.44
-0.0295	3.02	-2.84
-0.029	4.68	-3.72
-0.0285	5.26	-3.78
-0.028	5.86	-3.12
-0.0275	5.66	-3.48
-0.027	5.3	-4.28
-0.0265	6.86	-4.2
-0.026	6.72	-4.58
-0.0255	6.4	-5.28
-0.025	7.08	-4.88
-0.0245	6.62	-5.06
-0.024	6.48	-6.2
-0.0235	7.62	-6.02
-0.023	8.14	-6.64
-0.0225	7.78	-6.76
-0.022	7.38	-7.56
-0.0215	7.88	-7.78
-0.021	8.32	-7.32
-0.0205	8.68	-7.44
-0.02	7.56	-8.9
-0.0195	7.92	-8.76
-0.019	9.14	-9.42
-0.0185	10.08	-10.52
-0.018	9.82	-11.4
-0.0175	9.94	-10.34
-0.017	7.96	-10.42
-0.0165	8.82	-11.94
-0.016	8.3	-12.7
-0.0155	10.4	-12.64
-0.015	11.62	-13.46
-0.0145	10.46	-14.86
-0.014	12.08	-14.82
-0.0135	13.26	-15.54
-0.013	12.82	-16.04
-0.0125	11.42	-17.02
-0.012	12.52	-17.18
-0.0115	14.38	-18.92
-0.011	16.52	-19.68
-0.0105	15.32	-20.24
-0.01	15.42	-20.1
-0.0095	15.64	-21.6
-0.009	15.34	-23.32
-0.0085	15.42	-23.34
-0.008	15.58	-24.04
-0.0075	17.8	-24.62
-0.007	17.48	-26.94
-0.0065	17.74	-25.96
-0.006	16.76	-27.36
-0.0055	17.9	-28.5
-0.005	16.52	-28.22
-0.0045	17.4	-29.32
-0.004	17.74	-30.74
-0.0035	17.1	-31.58
-0.003	17.84	-32.16
-0.0025	18.1	-31.92
-0.002	18.64	-33.44
-0.0015	19.36	-33.52
-0.001	19.3	-35.5
-0.0005	19.16	-35.36
0	19.12	-35.4
0.0005	19.16	-35.36
0.001	19.3	-35.5
0.0015	19.36	-34.4
0.002	18.64	-33.44
0.0025	18.1	-31.92
0.003	17.84	-32.16
0.0035	17.1	-31.58
0.004	17.74	-30.74
0.0045	17.4	-29.32
0.005	16.52	-28.22
0.0055	17.9	-28.5
0.006	16.76	-27.36
0.0065	17.74	-25.96
0.007	17.48	-26.94
0.0075	17.8	-24.62
0.008	15.58	-24.04
0.0085	15.42	-23.34
0.009	15.34	-23.32
0.0095	15.64	-21.6
0.01	15.42	-20.1
0.0105	15.32	-20.24
0.011	16.52	-19.68
0.0115	14.38	-18.92
0.012	12.52	-17.18
0.0125	11.42	-17.02
0.013	12.82	-16.04
0.0135	13.26	-15.54
0.014	12.08	-14.82
0.0145	10.46	-14.86
0.015	11.62	-13.46
0.0155	10.4	-12.64
0.016	8.3	-12.7
0.0165	8.82	-11.94
0.017	7.96	-10.42
0.0175	9.94	-10.34
0.018	9.82	-11.4
0.0185	10.08	-10.52
0.019	9.14	-9.42
0.0195	7.92	-8.76
0.02	7.56	-8.9
0.0205	8.68	-7.44
0.021	8.32	-7.32
0.0215	7.88	-7.78
0.022	7.38	-7.56
0.0225	7.78	-6.76
0.023	8.14	-6.64
0.0235	7.62	-6.02
0.024	6.48	-6.2
0.0245	6.62	-5.06
0.025	7.08	-4.88
0.0255	6.4	-5.28
0.026	6.72	-4.58
0.0265	6.86	-4.2
0.027	5.3	-4.28
0.0275	5.66	-3.48
0.028	5.86	-3.12
0.0285	5.26	-3.78
0.029	4.68	-3.72
0.0295	3.02	-2.84
0.03	3.1	-2.44
0.0305	3.74	-2.4
0.031	3.9	-2.54
0.0315	4	-2.24
0.032	4.14	-1.92
0.0325	3.68	-1.38
0.033	3.98	-2.04
0.0335	3	-1.66
0.034	2.6	-1.04
0.0345	0.88	-3.06
0.035	3.14	-2.68
0.0355	2.16	-2.84
0.036	1.84	-1.22
0.0365	1.46	-0.44
0.037	-0.96	-0.24
0.0375	0.98	-0.82
0.038	0.48	-0.72
0.0385	0.5	-1.9
0.039	0.78	0.36
0.0395	-0.18	-0.34
0.04	0.74	-0.26
0.0405	0.94	0.38
0.041	-1.12	0.34
0.0415	0.5	-0.06
0.042	0.16	0.64
0.0425	0.1	-0.14
0.043	-0.76	0.34
0.0435	0.04	-0.04
0.044	0.86	0.64
0.0445	0.54	0.4
0.045	0.44	0.88
0.0455	-0.68	-1.16
0.046	0.08	-1.5
0.0465	-0.42	0.5
0.047	0.4	1.16
0.0475	0.26	0.88
0.048	-1.64	0.7
0.0485	0.18	-0.98
0.049	0.08	0.8
0.0495	0.44	1.28
0.05	0.52	1.22
0.0505	-0.48	0.38
0.051	0.14	0.74
0.0515	-0.12	1.16
0.052	-0.14	0.06
0.0525	-0.22	0.16
0.053	-1.86	-1.22
0.0535	-1.94	0.46
0.054	-2.26	1.02
0.0545	-0.42	1.08
0.055	0.06	1.08
0.0555	0.28	0.98
0.056	-0.5	0.5
0.0565	-0.22	0.8
0.057	-0.68	1.42
0.0575	-1.42	0.84
0.058	-2.86	0.44
0.0585	-1.3	-1.16
0.059	-2.4	-0.88
0.0595	-0.62	0.24
0.06	-1.34	0.76
0.0605	-0.08	0.1
0.061	-0.62	-0.8
0.0615	-0.78	-1.18
0.062	-0.94	-0.66
0.0625	-2.12	-0.22
0.063	-1.48	0.34
0.0635	-0.88	1.38
0.064	-0.8	1.14
0.0645	-1.4	1.4
0.065	-1.5	-1.12
0.0655	-2.2	0.54
0.066	-2.88	1.68
0.0665	-3.24	-0.32
0.067	-1.9	-0.82
0.0675	-1.64	-0.16
0.068	-1.3	1.18
0.0685	-1.54	0.96
0.069	-2.28	1.02
0.0695	-1.64	1.54
0.07	-2.32	1.36
0.0705	-2	1.4
0.071	-2.48	1.54
0.0715	-2.16	0.02
0.072	-2.48	-1.28
0.0725	-1.78	0.92
0.073	-1.88	1.88
0.0735	-1.48	1.36
0.074	-1.7	0.8
0.0745	-1.96	0.84
0.075	-0.9	1.98
0.0755	-1.9	2.02
0.076	-1.86	0.78
0.0765	-2.72	1.62
0.077	-1.08	1.9
0.0775	-1.7	1.28
0.078	-2.02	0.02
0.0785	-1.14	1.12
0.079	-4.12	1.1
0.08	-2.28	1.7
0.0805	-1.54	1.98
0.0815	-1.4	1.52
0.0825	-1.9	2
0.0835	-1.92	1.8
0.0845	-2.18	2
0.0855	-1.7	1.76
0.0865	-3	2.18
0.0875	-2.32	1.78
0.0885	-1.74	2.62
0.0895	-2.1	1.44
0.0905	-1.96	1.6
0.0915	-2.36	1.96
0.0925	-2	2.06
0.0935	-2.86	2.34
0.0945	-3.2	2.46
0.0955	-2.24	1.84
0.0965	-1.44	2.36
0.0975	-2.06	2.1
0.0985	-1.96	1.74
0.0995	-2	2.2
0.1005	-2.24	1.78
0.1015	-1.84	1.38
0.1025	-2.22	2.38
0.1035	-1.72	2.04
0.1045	-1.34	1.46
0.1055	-1.96	1.7
0.1065	-2.22	1.32
0.1075	-1.98	1.5
0.1085	-1.86	1.88
0.1095	-1.26	1.64
0.1105	-1.36	0.2
0.1115	-1.3	0.7
0.1125	-1.28	0.88
0.1135	-0.64	0.34
0.1145	-1.4	0.6
0.1155	-3.04	0.2
0.1165	-1.96	0.96
0.1175	-1.58	1.52
0.1185	-1.06	-0.2
0.1195	-1.74	1.62
0.1205	-1.34	1.76
0.1215	-1.82	1.24
0.1225	-1.26	1.38
0.1235	-1.3	1.7
0.1245	-1.74	0.94
0.1255	-1.38	2.1
0.1265	-1.22	1.44
0.1275	-1.08	0.84
0.1285	-1.58	0.9
0.1295	-1.1	1.3
0.1305	-1.32	1.66
0.1315	-0.98	1.12
0.1325	-0.92	1.38
0.1335	-1.48	1.64
0.1345	-1.56	1.72
0.1355	-2.46	2.42
0.1365	-2.02	2.24
0.1375	-1.18	1.34
0.1385	-2.1	0.24
0.1395	-0.84	-0.02
0.1405	-1.12	1.58
0.1415	-2.64	1.72
0.1425	-1.62	1
0.1435	-1.28	2.02
0.1445	-0.7	1.34
0.1455	-1.84	1.24
0.1465	-1.32	1.82
0.1475	-1.9	1.4
0.1485	-0.9	1.66
0.1495	0.02	1.34
0.1505	-0.16	1.2
0.1515	-0.44	1.24
0.1525	-0.78	1.02
0.1535	-1.66	1.54
0.1545	-0.54	0.22
0.1555	-0.5	1.36
0.1565	-0.04	1.82
0.1575	-0.3	1.48
0.1585	0.42	2
0.1595	-1.02	-0.1
0.1605	-0.28	1.9
0.1615	-0.1	1.66
0.1625	-0.08	1.3
0.1635	0.22	2.2
0.1645	-0.96	1.22
0.1655	-0.58	1.26
0.1665	-0.72	1.1
0.1675	-0.56	1.22
0.1685	0.3	0.7
0.1695	-0.06	0.7
0.1705	-2.84	1.16
0.1715	-0.28	1.08
0.1725	0.32	0.5
0.1735	0.22	0.48
0.1745	0.04	0.88
0.1755	0.02	0.52
0.1765	-0.1	0.9
0.1775	0.46	1.3
0.1785	-0.18	0.7
0.1795	-0.12	0.46
0.1805	-0.18	0.66
0.1815	-0.18	0.58
0.1825	-0.24	0.96
0.1835	-0.68	-0.46
0.1845	-0.08	-0.58
0.1855	0.52	0.44
0.1865	-0.22	-1.34
0.1875	0.1	1.02
0.1885	0.04	1.38
0.1895	0.34	1.26
0.1905	0.26	1.34
0.1915	0.56	0.78
0.1925	0.26	1.36
0.1935	0.24	0.88
0.1945	0.1	-0.54
0.1955	-0.58	-0.88
0.1965	-1.12	0.14
0.1975	0.46	0.92
0.1985	0.68	0.42
